snippet,fallacy_detection,category,class
And that's why the FDA and that's why the surgeon general are looking very carefully to make sure it can be done in a safe way.,0.0,0.0,0.0
"I will look for those judges who have an outstanding judicial record, who have the intellect, and who hopefully have a sense of what real-world folks are going through.",0.0,0.0,0.0
"And I'm delighted to be here tonight with you, Joe.",0.0,0.0,0.0
I'm not satisfied when I see men like Jimmy Hoffa - in charge of the largest union in the United States - still free.,0.0,0.0,0.0
And that's what we have to -- I think that's the test of public service.,0.0,0.0,0.0
She doesn't get it done.,0.0,0.0,0.0
That's the way things get done.,0.0,0.0,0.0
It keeps guns out of the hands of people who should not have guns.,0.0,0.0,0.0
Then you go to your own pharmacy.,0.0,0.0,0.0
"First of all, I do have mandatory testing.",0.0,0.0,0.0
But I want to go back to 1965.,0.0,0.0,0.0
"We need a president who will speed up the training of the Iraqis, get more staff in for doing that.",0.0,0.0,0.0
There are certain army bases that the act calls for that can be used in certain cases to shelter people when it's rough.,0.0,0.0,0.0
Life of the unborn.,0.0,0.0,0.0
We must stand for our ideals.,0.0,0.0,0.0
He wanted to take them into bankruptcy without providing them any way to stay open.,0.0,0.0,0.0
Nobody else has made money from China.,0.0,0.0,0.0
We have considered inflation in our figures.,0.0,0.0,0.0
"Now as far as the No Child Left Behind is concerned, it was a great first beginning in my view.",0.0,0.0,0.0
Almost half of American renters are worried about whether they're going to be able to pay rent by the end of the month.,0.0,0.0,0.0
"Just to go down the list, we defend Japan, we defend Germany, we defend South Korea, we defend Saudi Arabia, we defend countries.",0.0,0.0,0.0
Governor Bush opposes it.,0.0,0.0,0.0
"And, after 9/11, it became clear that we had to do several things to have a successful strategy to win the global war on terror, specifically that we had to go after the terrorists wherever we might find them, that we also had to go after state sponsors of terror, those who might provide sanctuary or safe harbor for terror.",0.0,0.0,0.0
I don't think this has worked in the past; I do not think it will work in the future.,0.0,0.0,0.0
The Byrd family may have a misunderstanding of it in Texas also.,0.0,0.0,0.0
They risk their lives every day to take care of us.,0.0,0.0,0.0
The people pay it.,0.0,0.0,0.0
She's been doing this for 30 years.,0.0,0.0,0.0
"Here's what's actually happened in Afghanistan, regardless of this rosy scenario that they paint on Afghanistan, just like they do with Iraq.",1.0,0.0,0.0
They should have been doing this for years.,1.0,1.0,2.0
"Bill Clinton and I believe that the United States of America has its brightest days ahead, and we will see them even brighter if we promote diversity and harmony among all our people.",0.0,0.0,0.0
I believe that it is important to tell the truth to the American people.,0.0,0.0,0.0
So here's what we do.,0.0,0.0,0.0
A promise made will be a promise kept should I be fortunate enough to become your president.,0.0,0.0,0.0
I think it's an issue that we need to take very seriously.,0.0,0.0,0.0
"Yes, we're getting the job done.",0.0,0.0,0.0
I have fought against it.,0.0,0.0,0.0
And I might add that uh - my administration - and I'm very proud of it - is the first administration that has taken an antitrust action against companies in this country that have allegedly cooperated with the Arab boycott.,0.0,0.0,0.0
I think you've got to look at how one has handled responsibility in office.,0.0,0.0,0.0
"Well, first, Jim, let me thank you and thank you, Senator Dole, and thank you, ladies and gentlemen, all of you listening tonight for the chance you've given us to appear.",0.0,0.0,0.0
We have to practice what we preach.,1.0,0.0,5.0
He is for full public financing of Congressional elections.,0.0,0.0,0.0
I don't know -- starting after 4 years.,0.0,0.0,0.0
I would be willing as president to meet with Mr. Khrushchev or any other world leader if it would serve the cause of peace.,0.0,0.0,0.0
That's wrong.,0.0,0.0,0.0
"I'd like to have what 43 governors have -- the line item veto, so if the Congress can't cut, and we've got a reckless spending Congress, let the president have a shot at it by wiping out things that are pork barrel or something of that nature.",1.0,0.0,0.0
They lost plenty of money on that one.,0.0,0.0,0.0
The world is more dangerous today because the president didn't make the right judgments.,0.0,0.0,0.0
"Now, I've told you what the intelligence briefing he received said about that.",0.0,0.0,0.0
"And then, just as Castro had done in Cuba, the Sandinistas ousted the other parties to the revolution.",0.0,0.0,0.0
"And sadly, she doesn't have that.",1.0,1.0,2.0
I want anti-ballistic missile systems to protect ourselves and our allies from a rogue nation that may try to hold us hostage or blackmail our allies and friends.,0.0,0.0,0.0
"And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control.",1.0,1.0,1.0
I voted for the Formosa resolution in 1955.,0.0,0.0,0.0
The fact is that since the reserve was opened the price of oil on world markets has dropped $6 a barrel.,0.0,0.0,0.0
"What I believe is we have to do, as the president mentioned towards the end of his remarks there, which is to make enormous efforts to enforce the gun laws that we have, and to change the culture of violence that we have.",0.0,0.0,0.0
And I think that those men and women in those agencies are doing a great job.,0.0,0.0,0.0
I spoke with the Governor about it.,0.0,0.0,0.0
He knew these flights were going on long before and that wasn't the reason that he broke up the conference.,0.0,0.0,0.0
But I thought it would cost a lot -- I think there's a better way to do it.,0.0,0.0,0.0
But this is an exciting time.,0.0,0.0,0.0
Can I say just one other thing here?,0.0,0.0,0.0
And the exit strategy needs to be well-defined.,0.0,0.0,0.0
That's what I've been critical about the administration for.,0.0,0.0,0.0
"You've missed a lot of key votes: on tax policy, on energy, on Medicare reform.",0.0,0.0,0.0
"And any research or development along the Star Wars schemes would inevitably involve our most advanced computers, our most advanced engineering.",0.0,0.0,0.0
